sigma,target_feature
0.26,0.00322546803261182
0.27,0.00157859241696615
0.28,2.70037814900038e-06
0.29,0.000213267301293723
0.3,1.32835061484627e-05
0.31,1.58595513732111e-05
0.32,0.000369155421803074
0.33,12.8943120154483
0.34,12.7230946090867
0.35,12.3554244008117
0.36,12.2281355217824
0.37,11.9248830619229
0.38,11.6916198777506
0.39,11.5225912357622
0.4,11.2913558766605
0.41,11.0559766354598
0.42,10.8353003461408
0.43,10.6314736427208
0.44,10.4633041746295
0.45,10.3271279688572
0.46,10.1975280168033
0.47,10.0405458365762
0.48,9.87368553360247
0.49,9.72045967760924
0.5,9.62305962502502
0.51,9.50204468026618
0.52,4.05764081728506
0.53,3.6854945370133
0.54,3.51865303949962
0.55,3.32168730015801
0.56,3.2230417710137
