sigma,target_feature
0.26,0.000204334480139683
0.27,4.63267161134136e-05
0.28,1.4033095349695e-05
0.29,1.9477159683029e-05
0.3,1.13837141215997e-05
0.31,1.06622099585823e-05
0.32,7.23633848199436e-06
0.33,13.2822339181882
0.34,13.1038909296033
0.35,12.7761787885219
0.36,12.4647480699866
0.37,12.2687564551841
0.38,12.0776046418787
0.39,11.8258029665139
0.4,11.5915349974821
0.41,11.3660481263081
0.42,11.167547454368
0.43,10.9899916355799
0.44,10.8075490298527
0.45,10.6456304388668
0.46,10.5159923987367
0.47,10.3818878844773
0.48,10.2148801257343
0.49,10.0428026542559
0.5,9.91715272340796
0.51,9.79742409785172
0.52,4.00963453409117
0.53,3.8819567022621
0.54,3.47235391005556
0.55,3.36582891138732
0.56,3.40199610887572
